,Titles,Year,IMDB Ratings,Votes
151,The Grand Budapest Hotel,2014,8.1,681347
152,Malcolm X,1992,7.7,82395
153,American History X,1998,8.5,1006825
154,Casino Royale,2006,8.0,566691
155,X: First Class,2011,7.7,633891
156,Arrival,2016,7.9,569164
157,Ex Machina,2014,7.7,457742
158,Her,2013,8.0,517717
159,Back to the Future Part II,1989,7.8,461737
160,Willy Wonka & the Chocolate Factory,1971,7.8,172401
161,A Few Good Men,1992,7.7,227250
162,American Psycho,2000,7.6,467505
163,Room,2015,8.1,352230
164,One Flew Over the Cuckoo's Nest,1975,8.7,884226
165,Captain America: Civil War,2016,7.8,638235
166,Tombstone,1993,7.8,121911
167,"Three Billboards Outside Ebbing, Missouri",2017,8.2,403784
168,Ghostbusters,1984,7.8,344416
169,Full Metal Jacket,1987,8.3,652339
170,Drive,2011,7.8,554162
171,Die Hard,1988,8.2,762836
172,Crash,2004,7.8,413473
173,Mulholland Dr.,2001,8.0,309581
174,Cast Away,2000,7.8,505924
175,Ratatouille,2007,8.0,619922
176,Black Swan,2010,8.0,682150
177,Sicario,2015,7.6,356626
178,The Perks of Being a Wallflower,2012,8.0,447816
179,The Peanut Butter Falcon,2019,7.6,42575
180,Hacksaw Ridge,2016,8.1,412332
181,2001: A Space Odyssey,1968,8.3,582235
182,Indiana Jones and the Temple of Doom,1984,7.6,434087
183,Unforgiven,1992,8.2,363774
184,Remember the Titans,2000,7.8,192837
185,The Big Short,2015,7.8,344162
186,Logan,2017,8.1,620587
187,The Thing,1982,8.1,356433
188,Eternal Sunshine of the Spotless Mind,2004,8.3,881849
189,The Imitation Game,2014,8.0,661676
190,The Hangover,2009,7.7,701939
191,Oldeuboi,2003,8.4,496260
192,Pride & Prejudice,2005,7.8,244538
193,Atonement,2007,7.8,241390
194,Reservoir Dogs,1992,8.3,889273
195,Apollo 13,1995,7.6,260308
196,Edge of Tomorrow,2014,7.9,581480
197,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1124103
198,Love Actually,2003,7.6,413674
199,Hauru no ugoku shiro,2004,8.2,313376
200,Star Wars: The Force Awakens,2015,7.9,840831
201,Ocean's Eleven,2001,7.7,500587
202,Stand by Me,1986,8.1,352272
203,Idi i smotri,1985,8.3,51922
204,Snatch,2000,8.3,761178
205,Harry Potter and the Half-Blood Prince,2009,7.6,453451
206,Donnie Darko,2001,8.0,724569
207,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,561364
208,Kimi no na wa.,2016,8.4,172674
209,Contratiempo,2016,8.1,122203
210,La vita è bella,1997,8.6,600005
211,The Truman Show,1998,8.1,899826
212,Big Hero 6,2014,7.8,397807
213,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,458728
214,The Sixth Sense,1999,8.1,888374
215,Midnight in Paris,2011,7.7,376061
216,Gifted,2017,7.6,94299
217,The Pianist,2002,8.5,700927
218,The Florida Project,2017,7.6,87465
219,Children of Men,2006,7.9,452144
220,Ah-ga-ssi,2016,8.1,101487
221,Captain Fantastic,2016,7.9,179571
222,The Girl with the Dragon Tattoo,2011,7.8,408730
223,Fargo,1996,8.1,596178
224,Close Encounters of the Third Kind,1977,7.6,178616
225,About Time,2013,7.8,286963
226,Pan's Labyrinth,2006,8.2,602901
227,Mononoke-hime,1997,8.4,325981
228,The Sound of Music,1965,8.0,197081
229,Captain America: The Winter Soldier,2014,7.7,713954
230,The Hobbit: The Desolation of Smaug,2013,7.8,588037
231,Primal Fear,1996,7.7,178614
232,A Beautiful Mind,2001,8.2,821156
233,The Godfather: Part III,1990,7.6,347399
234,Mulan,1998,7.6,241915
235,Black Hawk Down,2001,7.7,355984
236,Blazing Saddles,1974,7.7,122375
237,Kill Bill: Vol. 2,2004,8.0,663070
238,True Grit,2010,7.6,302174
239,Brokeback Mountain,2005,7.7,314925
240,Wind River,2017,7.7,192763
241,Man on Fire,2004,7.7,321856
242,Once Upon a Time in America,1984,8.4,299038
243,Despicable Me,2010,7.6,488322
244,Sin City,2005,8.0,731235
245,Home Alone,1990,7.6,448492
246,Once Upon a Time in the West,1968,8.5,291784
247,Boyz n the Hood,1991,7.7,120380
248,Moneyball,2011,7.6,350087
249,Superbad,2007,7.6,508112
250,Inside Out,2015,8.1,586369
251,Silver Linings Playbook,2012,7.7,647631
252,The Intouchables,2011,8.5,730554
253,The Wizard of Oz,1939,8.0,364764
254,Predator,1987,7.8,362234
255,Star Wars: Episode VI - Return of the Jedi,1983,8.3,921684
256,The Incredibles,2004,8.0,638598
257,Spotlight,2015,8.1,401487
258,Dead Poets Society,1989,8.1,406487
259,The Sandlot,1993,7.8,76277
260,Casablanca,1942,8.5,505860
261,Finding Nemo,2003,8.1,921498
262,Cidade de Deus,2002,8.6,681588
263,Stardust,2007,7.6,248219
264,Incredibles 2,2018,7.6,235891
265,Nightcrawler,2014,7.9,443221
266,Warrior,2011,8.2,424507
267,Bridge of Spies,2015,7.6,278717
268,Twelve Monkeys,1995,8.0,565084
269,Some Like It Hot,1959,8.2,236080
270,Toy Story,1995,8.3,857571
271,The Pursuit of Happyness,2006,8.0,433308
272,Tangled,2010,7.7,392996
273,Capharnaüm,2018,8.4,49967
274,The Deer Hunter,1978,8.1,301848
275,Training Day,2001,7.7,378101
276,Shrek,2001,7.8,596171
277,The Hunt for Red October,1990,7.6,173449
278,The Fault in Our Stars,2014,7.7,333969
279,The Blind Side,2009,7.6,283497
280,Hot Fuzz,2007,7.8,449804
281,Vertigo,1958,8.3,348160
282,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,437732
283,The Exorcist,1973,8.0,351824
284,L.A. Confidential,1997,8.2,518053
285,Little Miss Sunshine,2006,7.8,428870
286,Hell or High Water,2016,7.6,195619
287,Rocky,1976,8.1,502399
288,X-Men: Days of Future Past,2014,8.0,647006
289,Wonder,2017,8.0,131155
290,Young Frankenstein,1974,8.0,139437
291,Airplane!,1980,7.7,204866
292,Jagten,2012,8.3,266208
293,The Fugitive,1993,7.8,259800
294,28 Days Later...,2002,7.6,367177
295,Rush,2013,8.1,419016
296,Trainspotting,1996,8.1,619698
297,The Last Samurai,2003,7.7,389049
298,Manchester by the Sea,2016,7.8,235767
299,Straight Outta Compton,2015,7.9,174818
300,What's Eating Gilbert Grape,1993,7.8,208577
301,The Last of the Mohicans,1992,7.7,144414
302,Sherlock Holmes,2009,7.6,571122
303,Argo,2012,7.7,560066
304,Mary Poppins,1964,7.8,153126
305,Kick-Ass,2010,7.6,515609
306,Up,2009,8.2,904436
307,Dallas Buyers Club,2013,8.0,426734
308,Deliverance,1972,7.7,95931
309,The Untouchables,1987,7.9,270595
310,Amélie,2001,8.3,686381
311,Platoon,1986,8.1,370710
312,Lost in Translation,2003,7.7,398240
313,Mystic River,2003,7.9,408756
314,Shichinin no samurai,1954,8.6,304866
315,Frost/Nixon,2008,7.7,100655
316,Slumdog Millionaire,2008,8.0,782328
317,Magnolia,1999,8.0,282756
318,Dances with Wolves,1990,8.0,233355
319,Edward Scissorhands,1990,7.9,434638
320,Star Trek Into Darkness,2013,7.7,456971
321,Zombieland,2009,7.6,507030
322,Big Fish,2003,8.0,405822
323,The Bourne Identity,2002,7.9,495923
324,Lion,2016,8.0,204029
325,"Monsters, Inc.",2001,8.0,789251
326,"Lock, Stock and Two Smoking Barrels",1998,8.2,520691
327,Who Framed Roger Rabbit,1988,7.7,177216
328,Scent of a Woman,1992,8.0,249375
329,Glory,1989,7.8,117844
330,Brazil,1985,7.9,183266
331,Saw,2004,7.6,369579
332,Being John Malkovich,1999,7.7,301486
333,National Lampoon's Christmas Vacation,1989,7.6,147727
334,The Lives of Others,2006,8.4,346497
335,Million Dollar Baby,2004,8.1,618418
336,Blue Velvet,1986,7.8,174677
337,Amadeus,1984,8.3,358255
